,RATING_SCORE,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,MULTI_GLAZE_PROPORTION,LOW_ENERGY_LIGHTING,INSULATION_QUALITY_SCORE,HEATED_ROOM_RATIO,IS_LOW_EFFICIENCY_HEATING,HAS_SOLAR_WATER_HEATING
RATING_SCORE,1.0,-0.046,-0.181,-0.157,0.269,0.299,0.559,0.168,-0.232,0.031
TOTAL_FLOOR_AREA,-0.046,1.0,0.774,0.77,-0.094,-0.052,0.109,0.021,-0.112,0.072
NUMBER_HABITABLE_ROOMS,-0.181,0.774,1.0,0.99,-0.087,-0.1,0.008,0.0,-0.121,0.076
NUMBER_HEATED_ROOMS,-0.157,0.77,0.99,1.0,-0.076,-0.091,0.017,0.131,-0.135,0.076
MULTI_GLAZE_PROPORTION,0.269,-0.094,-0.087,-0.076,1.0,0.097,0.316,0.075,-0.024,0.008
LOW_ENERGY_LIGHTING,0.299,-0.052,-0.1,-0.091,0.097,1.0,0.207,0.056,0.041,0.009
INSULATION_QUALITY_SCORE,0.559,0.109,0.008,0.017,0.316,0.207,1.0,0.07,-0.011,0.022
HEATED_ROOM_RATIO,0.168,0.021,0.0,0.131,0.075,0.056,0.07,1.0,-0.123,0.004
IS_LOW_EFFICIENCY_HEATING,-0.232,-0.112,-0.121,-0.135,-0.024,0.041,-0.011,-0.123,1.0,-0.006
HAS_SOLAR_WATER_HEATING,0.031,0.072,0.076,0.076,0.008,0.009,0.022,0.004,-0.006,1.0
