Feature,Perm_Mean,Perm_Std
HOT_WATER_ENERGY_EFF_Good,0.11715991457812132,0.015782500562646434
IS_LOW_EFFICIENCY_HEATING,0.10530374654489134,0.011631552221237951
INSULATION_QUALITY_SCORE,0.10233926663779724,0.005447373227773316
MAINHEAT_ENERGY_EFF_Good,0.06477187247110605,0.013136676496915013
BUILT_FORM_Detached,0.04343946123024171,0.005417493901724474
NUMBER_HEATED_ROOMS,0.04089109970448177,0.005884333234043969
ROOF_ENERGY_EFF_Unknown,0.030300670770287398,0.007769855207615132
MAIN_FUEL_mains gas (not community),0.02930888500255797,0.011896908294519165
MECHANICAL_VENTILATION_natural,0.028993301889968116,0.01043159343209734
NUMBER_HABITABLE_ROOMS,0.02845572855594476,0.005151107701514318
"MAINHEAT_DESCRIPTION_Boiler and radiators, mains gas",0.02835724599505347,0.005632369899786892
ROOF_ENERGY_EFF_Good,0.0262477759879308,0.006276385869045285
FLOOR_DESCRIPTION_(another dwelling below),0.025106825088757147,0.0010980727233027951
WALLS_ENERGY_EFF_Good,0.02192605134658847,0.005152985368256639
"FLOOR_DESCRIPTION_Solid, no insulation (assumed)",0.02172541401817212,0.0047905105705481075
"FLOOR_DESCRIPTION_Suspended, no insulation (assumed)",0.02033287470749854,0.010000163351002705
MAINHEAT_ENERGY_EFF_Very Poor,0.019875946727203542,0.005030697181957631
MULTI_GLAZE_PROPORTION,0.01877857816506572,0.008353930157047211
HOT_WATER_ENERGY_EFF_Very Poor,0.018775243475441905,0.004034219861771335
WINDOWS_DESCRIPTION_Single glazed,0.018522151044080726,0.002307435420995934
PROPERTY_TYPE_Flat,0.018326488725226308,0.007189474242373089
ROOF_ENERGY_EFF_Very Poor,0.017863826782771985,0.0015763060488178395
MAIN_FUEL_Gas: mains gas,0.016801863051961873,0.003138409830173559
ROOF_DESCRIPTION_(another dwelling above),0.016699929129660496,0.007809352379020762
WALLS_ENERGY_EFF_Very Poor,0.0165076035841643,0.004949543427074921
HOT_WATER_ENERGY_EFF_Average,0.015846841062946027,0.005425063473427409
MECHANICAL_VENTILATION_Unknown,0.015809549259165646,0.004611670698408882
BUILT_FORM_Mid-Terrace,0.015610756272327064,0.0036329064325149383
PROPERTY_AGE_GROUP_1950-1966,0.014943728170024118,0.005744333007894652
CONSTRUCTION_AGE_BAND_England and Wales: 1950-1966,0.014943728170024118,0.005744333007894652
TRANSACTION_TYPE_rental,0.01449717487746085,0.0052952489364948225
MAINS_GAS_FLAG_N,0.01365809241009277,0.003442862443902309
LIGHTING_DESCRIPTION_Excellent lighting efficiency,0.013447732762641463,0.002222626469156332
CONSTRUCTION_AGE_BAND_2022,0.013295923852307222,0.004024299788058651
LOW_LIGHTING_BAND_76–100%,0.013067896494796094,0.0047267656321000676
FLOOR_DESCRIPTION_(other premises below),0.01294525860691902,0.0016709917094410234
FLOOR_AREA_BAND_<50 m²,0.012637737986811426,0.003662221092058919
WALLS_ENERGY_EFF_Very Good,0.011818675702596936,0.0028605124514396924
FLOOR_AREA_BAND_75–100 m²,0.011601377176872485,0.002580560787044617
WINDOWS_ENERGY_EFF_Very Poor,0.011552163220854662,0.0035445857441964135
LIGHTING_DESCRIPTION_Good lighting efficiency,0.011530026690393224,0.0013427877685971204
TRANSACTION_TYPE_new dwelling,0.011185892623903992,0.002554147505468701
WALLS_ENERGY_EFF_Average,0.010929357002558083,0.004680489462857433
WINDOWS_DESCRIPTION_Fully double glazed,0.010492741090834113,0.006770888026516612
LOW_ENERGY_LIGHTING,0.009901843890205386,0.004318431155459713
MAINHEAT_ENERGY_EFF_Average,0.00970166641685195,0.0024022953752409443
HOT_WATER_ENERGY_EFF_Very Good,0.009552639778793592,0.004862986864982102
"WALLS_DESCRIPTION_Cavity wall, filled cavity",0.009494010321578927,0.003098647010869857
NUMBER_OPEN_FIREPLACES,0.009404840874080533,0.002396928790955833
HOT_WATER_ENERGY_EFF_Poor,0.008713795231113685,0.005260360056990421
TOTAL_FLOOR_AREA,0.008186681512959804,0.002720630347541687
MAINS_GAS_FLAG_Unknown,0.00793792294672695,0.007522374008270737
SOLAR_WATER_HEATING_FLAG_Unknown,0.00793792294672695,0.007522374008270737
PROPERTY_AGE_GROUP_Unknown,0.007349103364983667,0.002778744515033562
