Feature,MDI_Importance
INSULATION_QUALITY_SCORE,0.039243792638389015
HOT_WATER_ENERGY_EFF_Good,0.023221201636893216
WINDOWS_ENERGY_EFF_Very Good,0.02226253150177528
TOTAL_FLOOR_AREA,0.019968041222144253
WALLS_ENERGY_EFF_Good,0.01895660193182478
SOLAR_WATER_HEATING_FLAG_Unknown,0.016487447608505745
FLOOR_HEIGHT,0.016085971852408548
MAIN_FUEL_Gas: mains gas,0.016050626765890766
ENERGY_TARIFF_standard tariff,0.015673679862138766
WALLS_ENERGY_EFF_Very Good,0.015603541974783593
WINDOWS_DESCRIPTION_High performance glazing,0.015578881446458127
"WALLS_DESCRIPTION_Solid brick, as built, no insulation (assumed)",0.014553096185583526
WALLS_ENERGY_EFF_Very Poor,0.014308072100841607
WINDOWS_DESCRIPTION_Fully double glazed,0.014207720291975222
FIXED_LIGHTING_OUTLETS_COUNT,0.014071126883302847
MAINS_GAS_FLAG_Y,0.014046923450968852
MAIN_FUEL_mains gas (not community),0.01394906728076275
TRANSACTION_TYPE_new dwelling,0.013715087722992408
"WALLS_DESCRIPTION_Cavity wall, as built, insulated (assumed)",0.013531562584635764
MAINHEAT_ENERGY_EFF_Good,0.01310440708198065
ROOF_ENERGY_EFF_Very Poor,0.012765411147606369
MAINHEATCONT_DESCRIPTION_Time and temperature zone control,0.012104246279400882
HOT_WATER_ENERGY_EFF_Average,0.01185124821956579
NUMBER_OPEN_FIREPLACES,0.011844300199809185
WALLS_ENERGY_EFF_Poor,0.011262231809467484
MAINS_GAS_FLAG_Unknown,0.011187507943705448
NUMBER_HEATED_ROOMS,0.010732225588103073
LOW_ENERGY_LIGHTING,0.010064996824568996
IS_LOW_EFFICIENCY_HEATING,0.009654372441581245
PROPERTY_TYPE_Flat,0.009598810039753873
TENURE_Not defined - use in the case of a new dwelling for which the intended tenure in not known. It is not to be used for an existing dwelling,0.009506195304139117
NUMBER_HABITABLE_ROOMS,0.009351162057524951
FLOOR_DESCRIPTION_(another dwelling below),0.008653532176026636
"WALLS_DESCRIPTION_Cavity wall, as built, no insulation (assumed)",0.008230994392046801
"MAINHEATCONT_DESCRIPTION_Programmer, room thermostat and TRVs",0.008204825121263588
